,,,,,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,105.58,6.68, 121.05 ,9.43, 10.82 ,NA,,NA,,,1.01,1.11,10.93%,9.00%,1.93%,,,,
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,105.37,6.73, 121.45 ,9.49, 10.94 ,NA,,NA,,,1.01,1.12,11.00%,9.20%,1.80%,,,,
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,105.37,6.78, 122.10 ,9.54, 11.06 ,NA,,NA,,,1.01,1.12,10.48%,9.17%,1.31%,,,,
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,97.31,6.84, 113.43 ,9.59, 11.18 ,NA,,NA,,,1.01,1.13,11.59%,9.26%,2.33%,,,,
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,90.90,7.05, 106.64 ,9.87, 11.58 ,NA,,NA,,,1.01,1.16,12.02%,8.99%,3.04%,,,,
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,90.45,7.33, 106.83 ,10.24, 12.10 ,NA,,NA,,,1.01,1.21,12.34%,8.73%,3.61%,,,,
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,96.64,7.22, 114.84 ,10.06, 11.95 ,NA,,NA,,,1.01,1.18,11.23%,8.85%,2.37%,,,,
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,100.32,7.10, 119.92 ,9.90, 11.84 ,NA,,NA,,,1.01,1.17,10.47%,9.00%,1.47%,,,,
1874.02,4.80,0.33,0.46,12.37,1874.13,5.44,103.33,7.10, 124.23 ,9.90, 11.91 ,NA,,NA,,,1.01,1.18,10.43%,8.96%,1.47%,,,,
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,101.83,7.10, 123.13 ,9.90, 11.97 ,NA,,NA,,,1.01,1.19,10.54%,8.92%,1.62%,,,,
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,100.57,7.22, 122.35 ,10.06, 12.23 ,NA,,NA,,,1.01,1.22,10.39%,8.95%,1.44%,,,,
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,98.72,7.27, 120.83 ,10.14, 12.41 ,NA,,NA,,,1.01,1.23,9.89%,9.06%,0.84%,,,,
